defect_id,defect_date,vendor_name,plant,material_type,defect_type,defect_quantity,downtime_minutes,impact_level
DEF-00088,2024-01-01,Rapid Freight,Detroit Plant,Hardware,No Impact,2487,10,Medium
DEF-00089,2024-12-18,Vertex Components,Toronto Plant,Hardware,Rejected,4384,8,Medium
DEF-00090,2024-01-04,Rapid Freight,Atlanta Plant,Packaging,Rework,2400,236,High
DEF-00091,2024-05-07,Metro Logistics,Toronto Plant,Corrugate,Impact,3581,404,Medium
DEF-00092,2024-11-16,Prime Hardware,Mexico City Plant,Machine Parts,No Impact,649,432,Medium
DEF-00093,2024-07-30,Prime Hardware,Troy Plant,Packaging,Impact,4358,275,Medium
DEF-00094,2024-11-12,Vertex Components,Atlanta Plant,Machine Parts,Rework,905,466,Low
DEF-00095,2024-03-18,Alpha Industrial Supplies,Mexico City Plant,Raw Materials,Impact,2627,19,Low
DEF-00096,2024-03-05,Vertex Components,Troy Plant,Packaging,Rejected,2312,275,Low
DEF-00097,2024-04-21,NexGen Maintenance,Toronto Plant,Hardware,Rework,121,505,Medium
DEF-00098,2024-06-18,Global Parts Co,Detroit Plant,Raw Materials,No Impact,3799,32,Medium
DEF-00099,2024-08-28,Metro Logistics,Detroit Plant,Hardware,Rework,585,556,Low
DEF-00100,2024-07-16,Vertex Components,Detroit Plant,Raw Materials,Impact,1000,254,Medium
DEF-00101,2024-12-06,Prime Hardware,Toronto Plant,Corrugate,No Impact,770,533,Medium
DEF-00102,2024-10-08,Rapid Freight,Troy Plant,Hardware,Rework,1300,43,High
DEF-00103,2024-07-03,Alpha Industrial Supplies,Detroit Plant,Raw Materials,Impact,2448,203,High
DEF-00104,2024-01-08,Metro Logistics,Atlanta Plant,Machine Parts,Rejected,3557,332,Medium
DEF-00105,2024-01-22,Omega Office Supplies,Toronto Plant,Machine Parts,Impact,1992,9,Medium
DEF-00106,2024-03-21,Vertex Components,Troy Plant,Machine Parts,No Impact,734,254,High
DEF-00107,2024-07-01,Metro Logistics,Mexico City Plant,Raw Materials,Impact,492,61,Medium
DEF-00108,2024-10-12,NexGen Maintenance,Toronto Plant,Packaging,Rejected,1907,324,High
DEF-00109,2024-03-09,Summit Packaging,Troy Plant,Corrugate,Rework,3095,366,High
DEF-00110,2024-12-22,Vertex Components,Detroit Plant,Machine Parts,Impact,2415,555,High
DEF-00111,2024-08-27,Summit Packaging,Mexico City Plant,Machine Parts,Impact,2849,331,Low
DEF-00112,2024-08-18,Summit Packaging,Atlanta Plant,Machine Parts,No Impact,4352,158,Medium
DEF-00113,2024-07-13,Metro Logistics,Troy Plant,Machine Parts,No Impact,6,518,High
DEF-00114,2024-02-02,Rapid Freight,Toronto Plant,Packaging,Rework,1957,328,High
DEF-00115,2024-06-14,BlueLine Services,Atlanta Plant,Raw Materials,Rejected,1263,289,High
DEF-00116,2024-03-07,Metro Logistics,Troy Plant,Packaging,Rejected,547,44,Medium
DEF-00117,2024-01-17,Omega Office Supplies,Toronto Plant,Corrugate,No Impact,1570,101,Low
DEF-00118,2024-11-06,Global Parts Co,Troy Plant,Packaging,Rework,3002,226,Low
DEF-00119,2024-07-03,Rapid Freight,Toronto Plant,Hardware,Rejected,3835,62,High
DEF-00120,2024-01-21,Global Parts Co,Atlanta Plant,Raw Materials,Impact,2178,541,High
DEF-00121,2024-04-28,Rapid Freight,Toronto Plant,Packaging,Impact,796,103,High
DEF-00122,2024-11-16,Metro Logistics,Mexico City Plant,Machine Parts,Rework,2038,583,High
DEF-00123,2024-07-02,Vertex Components,Toronto Plant,Raw Materials,Impact,865,590,Low
DEF-00124,2024-09-15,NexGen Maintenance,Detroit Plant,Machine Parts,Rework,4506,411,Medium
DEF-00125,2024-06-15,NexGen Maintenance,Toronto Plant,Corrugate,No Impact,2582,563,High
DEF-00126,2024-10-06,Prime Hardware,Toronto Plant,Machine Parts,No Impact,1972,576,Medium
DEF-00127,2024-07-22,Alpha Industrial Supplies,Troy Plant,Hardware,Rejected,3707,458,High
DEF-00128,2024-01-04,Summit Packaging,Detroit Plant,Packaging,No Impact,1107,309,Low
DEF-00129,2024-09-18,Rapid Freight,Mexico City Plant,Machine Parts,Impact,2261,566,Low
DEF-00130,2024-07-01,Metro Logistics,Detroit Plant,Hardware,No Impact,310,471,High
DEF-00131,2024-05-11,Summit Packaging,Troy Plant,Machine Parts,Rework,2047,238,High
DEF-00132,2024-06-15,Vertex Components,Detroit Plant,Corrugate,Rejected,1782,79,High
DEF-00133,2024-10-22,BlueLine Services,Troy Plant,Raw Materials,No Impact,2461,38,Medium
DEF-00134,2024-03-02,Prime Hardware,Mexico City Plant,Raw Materials,Rework,3558,426,Low
DEF-00135,2024-01-22,NexGen Maintenance,Mexico City Plant,Machine Parts,Impact,2497,536,Medium
DEF-00136,2024-03-19,Alpha Industrial Supplies,Toronto Plant,Corrugate,Rejected,4116,226,Low
DEF-00137,2024-07-20,Metro Logistics,Detroit Plant,Hardware,Rejected,3539,296,Medium
DEF-00138,2024-10-07,BlueLine Services,Atlanta Plant,Raw Materials,Rework,4682,50,High
DEF-00139,2024-03-10,Vertex Components,Mexico City Plant,Packaging,Rework,3560,133,Medium
DEF-00140,2024-10-14,Omega Office Supplies,Mexico City Plant,Packaging,Impact,4681,200,Low
DEF-00141,2024-06-14,Omega Office Supplies,Troy Plant,Raw Materials,Rework,2182,440,Medium
DEF-00142,2024-04-07,NexGen Maintenance,Atlanta Plant,Machine Parts,Rejected,2993,356,Medium
DEF-00143,2024-11-11,Vertex Components,Mexico City Plant,Packaging,Rework,1387,358,Low
DEF-00144,2024-12-16,NexGen Maintenance,Detroit Plant,Raw Materials,Rejected,1913,204,High
DEF-00145,2024-11-13,Metro Logistics,Atlanta Plant,Raw Materials,No Impact,447,248,High
DEF-00146,2024-08-18,Vertex Components,Troy Plant,Hardware,Impact,912,312,High
DEF-00147,2024-04-14,Rapid Freight,Mexico City Plant,Hardware,Rework,4408,216,High
DEF-00148,2024-07-11,Omega Office Supplies,Mexico City Plant,Raw Materials,No Impact,1158,18,Low
DEF-00149,2024-04-12,Omega Office Supplies,Atlanta Plant,Raw Materials,Rework,493,290,High
DEF-00150,2024-07-17,Summit Packaging,Atlanta Plant,Raw Materials,Rejected,69,68,Medium
DEF-00151,2024-07-13,Rapid Freight,Troy Plant,Hardware,Rework,3167,236,High
DEF-00152,2024-04-05,Prime Hardware,Mexico City Plant,Corrugate,Rejected,4355,90,Low
DEF-00153,2024-06-05,NexGen Maintenance,Toronto Plant,Corrugate,Impact,2027,542,Low
DEF-00154,2024-06-30,Summit Packaging,Detroit Plant,Machine Parts,No Impact,2841,360,Low
DEF-00155,2024-01-16,Rapid Freight,Atlanta Plant,Packaging,Impact,2111,396,Medium
DEF-00156,2024-02-14,BlueLine Services,Mexico City Plant,Machine Parts,Impact,3219,140,Medium
DEF-00157,2024-03-19,BlueLine Services,Atlanta Plant,Machine Parts,No Impact,1970,586,Medium
DEF-00158,2024-04-15,Metro Logistics,Mexico City Plant,Machine Parts,Impact,4442,134,Low
DEF-00159,2024-03-10,BlueLine Services,Detroit Plant,Machine Parts,Impact,2532,536,Medium
DEF-00160,2024-09-29,Global Parts Co,Detroit Plant,Hardware,Impact,556,570,High
DEF-00161,2024-07-30,BlueLine Services,Atlanta Plant,Corrugate,No Impact,242,326,Low
DEF-00162,2024-03-08,Metro Logistics,Troy Plant,Machine Parts,No Impact,1540,109,High
DEF-00163,2024-11-01,Prime Hardware,Detroit Plant,Raw Materials,No Impact,4646,236,Low
DEF-00164,2024-09-14,Omega Office Supplies,Toronto Plant,Hardware,Impact,3905,137,Medium
DEF-00165,2024-03-11,Metro Logistics,Detroit Plant,Packaging,Rejected,4026,485,Medium
DEF-00166,2024-07-30,Prime Hardware,Detroit Plant,Packaging,Rejected,123,276,Low
DEF-00167,2024-12-18,NexGen Maintenance,Toronto Plant,Packaging,Rework,3599,501,Medium
DEF-00168,2024-06-09,BlueLine Services,Mexico City Plant,Machine Parts,Rejected,343,389,High
DEF-00169,2024-08-21,Alpha Industrial Supplies,Detroit Plant,Machine Parts,Rework,896,462,High
DEF-00170,2024-07-17,Rapid Freight,Troy Plant,Packaging,No Impact,322,571,Medium
DEF-00171,2024-05-26,Vertex Components,Detroit Plant,Corrugate,No Impact,3261,311,High
DEF-00172,2024-03-13,Vertex Components,Toronto Plant,Raw Materials,Rejected,447,529,Low
DEF-00173,2024-03-10,BlueLine Services,Toronto Plant,Hardware,Rework,4796,559,Low
DEF-00174,2024-10-29,Prime Hardware,Toronto Plant,Raw Materials,No Impact,1466,464,Medium
DEF-00175,2024-02-16,Global Parts Co,Toronto Plant,Hardware,Rejected,1344,126,High
DEF-00176,2024-11-09,Metro Logistics,Toronto Plant,Machine Parts,Rework,3147,523,Low
DEF-00177,2024-10-16,Metro Logistics,Detroit Plant,Packaging,Impact,1400,343,High
DEF-00178,2024-06-06,Summit Packaging,Toronto Plant,Hardware,Impact,421,429,Low
DEF-00179,2024-01-02,Omega Office Supplies,Atlanta Plant,Raw Materials,Rework,1078,207,Medium
DEF-00180,2024-01-03,Omega Office Supplies,Toronto Plant,Packaging,Impact,4085,556,High
DEF-00181,2024-07-28,Vertex Components,Troy Plant,Machine Parts,Rejected,3898,464,Low
DEF-00182,2024-11-13,Rapid Freight,Detroit Plant,Raw Materials,Impact,4484,284,Low
DEF-00183,2024-01-19,Metro Logistics,Troy Plant,Machine Parts,No Impact,452,357,Medium
DEF-00184,2024-02-25,BlueLine Services,Detroit Plant,Packaging,No Impact,719,50,High
DEF-00185,2024-10-14,Metro Logistics,Toronto Plant,Machine Parts,No Impact,4874,586,Low
DEF-00186,2024-06-14,NexGen Maintenance,Toronto Plant,Raw Materials,Rework,763,306,High
DEF-00187,2024-08-29,Metro Logistics,Troy Plant,Hardware,No Impact,532,299,High
DEF-00188,2024-04-17,Prime Hardware,Mexico City Plant,Raw Materials,Rejected,3390,537,High
DEF-00189,2024-09-04,Omega Office Supplies,Atlanta Plant,Corrugate,No Impact,4334,89,Medium
DEF-00190,2024-11-15,NexGen Maintenance,Detroit Plant,Machine Parts,Rework,4305,588,High
DEF-00191,2024-04-02,Omega Office Supplies,Detroit Plant,Hardware,Impact,4078,504,Low
DEF-00192,2024-08-26,Global Parts Co,Detroit Plant,Machine Parts,Rework,969,24,Medium
DEF-00193,2024-06-28,Rapid Freight,Detroit Plant,Raw Materials,Impact,373,341,High
DEF-00194,2024-02-04,Summit Packaging,Atlanta Plant,Machine Parts,No Impact,2308,260,Low
DEF-00195,2024-06-23,BlueLine Services,Mexico City Plant,Machine Parts,Rejected,933,341,Low
DEF-00196,2024-06-22,Vertex Components,Toronto Plant,Raw Materials,Impact,1590,338,Medium
DEF-00197,2024-10-01,NexGen Maintenance,Toronto Plant,Corrugate,Rejected,1273,471,High
DEF-00198,2024-12-13,NexGen Maintenance,Mexico City Plant,Machine Parts,Rejected,2453,578,Low
DEF-00199,2024-06-30,Global Parts Co,Detroit Plant,Hardware,Rejected,4731,339,Medium
DEF-00200,2024-03-25,Omega Office Supplies,Mexico City Plant,Corrugate,Impact,3074,547,High
DEF-00201,2024-12-27,NexGen Maintenance,Troy Plant,Hardware,Rework,958,315,Low
DEF-00202,2024-07-09,Vertex Components,Atlanta Plant,Packaging,No Impact,4072,243,Low
DEF-00203,2024-01-20,Prime Hardware,Troy Plant,Corrugate,Rejected,920,383,Medium
DEF-00204,2024-04-07,NexGen Maintenance,Toronto Plant,Machine Parts,No Impact,4097,157,Medium
DEF-00205,2024-09-21,Metro Logistics,Detroit Plant,Raw Materials,Rework,1174,100,Medium
DEF-00206,2024-01-03,Summit Packaging,Troy Plant,Machine Parts,Rejected,4280,118,Medium
DEF-00207,2024-02-22,Rapid Freight,Atlanta Plant,Raw Materials,No Impact,3825,47,High
DEF-00208,2024-04-12,Prime Hardware,Atlanta Plant,Hardware,No Impact,1720,328,Medium
DEF-00209,2024-03-17,Metro Logistics,Atlanta Plant,Raw Materials,Rejected,964,279,High
DEF-00210,2024-02-22,Prime Hardware,Mexico City Plant,Hardware,No Impact,4585,526,Medium
DEF-00211,2024-10-20,Prime Hardware,Detroit Plant,Raw Materials,No Impact,1160,290,High
DEF-00212,2024-08-15,Alpha Industrial Supplies,Detroit Plant,Raw Materials,Rework,2775,553,High
DEF-00213,2024-07-15,Alpha Industrial Supplies,Troy Plant,Corrugate,Rework,414,108,Low
DEF-00214,2024-11-11,NexGen Maintenance,Atlanta Plant,Hardware,Impact,4884,456,High
DEF-00215,2024-08-26,Omega Office Supplies,Detroit Plant,Raw Materials,Rework,4371,80,Low
DEF-00216,2024-12-16,Vertex Components,Toronto Plant,Packaging,Impact,3733,317,Low
DEF-00217,2024-07-19,Metro Logistics,Atlanta Plant,Hardware,Rework,2114,372,Medium
DEF-00218,2024-08-31,Global Parts Co,Atlanta Plant,Corrugate,Rework,248,66,Low
DEF-00219,2024-11-05,Omega Office Supplies,Detroit Plant,Machine Parts,Rejected,2313,356,Medium
DEF-00220,2024-10-11,Global Parts Co,Atlanta Plant,Machine Parts,Rework,877,333,Medium
DEF-00221,2024-05-02,Omega Office Supplies,Detroit Plant,Machine Parts,Impact,4838,423,Medium
DEF-00222,2024-06-23,Prime Hardware,Mexico City Plant,Corrugate,Rework,3145,67,High
DEF-00223,2024-12-21,Prime Hardware,Detroit Plant,Raw Materials,Rework,2804,557,Low
DEF-00224,2024-06-15,Rapid Freight,Troy Plant,Corrugate,Impact,4852,474,Medium
DEF-00225,2024-11-02,Global Parts Co,Mexico City Plant,Corrugate,No Impact,3325,71,Medium
DEF-00226,2024-04-21,Metro Logistics,Mexico City Plant,Raw Materials,Impact,504,92,High
DEF-00227,2024-09-29,Summit Packaging,Toronto Plant,Machine Parts,Rework,1223,463,Low
DEF-00228,2024-06-02,Omega Office Supplies,Atlanta Plant,Corrugate,No Impact,1685,324,Low
DEF-00229,2024-11-09,Rapid Freight,Toronto Plant,Packaging,No Impact,4774,8,Low
DEF-00230,2024-01-28,Alpha Industrial Supplies,Mexico City Plant,Hardware,Rejected,3025,562,Medium
DEF-00231,2024-08-09,Omega Office Supplies,Toronto Plant,Hardware,Rework,256,240,Medium
DEF-00232,2024-10-06,Prime Hardware,Detroit Plant,Corrugate,Impact,3126,445,Low
DEF-00233,2024-07-03,BlueLine Services,Detroit Plant,Hardware,Impact,4551,393,Low
DEF-00234,2024-11-27,Alpha Industrial Supplies,Detroit Plant,Corrugate,Rework,96,73,Low
DEF-00235,2024-11-24,BlueLine Services,Toronto Plant,Machine Parts,Rework,694,140,High
DEF-00236,2024-09-17,BlueLine Services,Mexico City Plant,Corrugate,Rework,1473,465,Medium
DEF-00237,2024-08-05,Omega Office Supplies,Troy Plant,Machine Parts,Rework,1850,190,High
DEF-00238,2024-05-17,BlueLine Services,Mexico City Plant,Machine Parts,No Impact,1940,513,Low
DEF-00239,2024-09-04,NexGen Maintenance,Troy Plant,Machine Parts,Rework,311,581,High
DEF-00240,2024-09-26,Summit Packaging,Toronto Plant,Machine Parts,Rejected,656,145,High
DEF-00241,2024-05-05,Vertex Components,Troy Plant,Machine Parts,No Impact,4998,90,High
DEF-00242,2024-09-30,Alpha Industrial Supplies,Toronto Plant,Corrugate,Rework,433,351,High
DEF-00243,2024-06-29,Summit Packaging,Atlanta Plant,Packaging,Rejected,2716,431,High
DEF-00244,2024-10-15,Summit Packaging,Troy Plant,Corrugate,Impact,4896,311,High
DEF-00245,2024-11-15,Alpha Industrial Supplies,Atlanta Plant,Corrugate,Rejected,423,298,Low
DEF-00246,2024-05-22,Summit Packaging,Detroit Plant,Machine Parts,No Impact,4142,78,Medium
DEF-00247,2024-02-27,Omega Office Supplies,Detroit Plant,Machine Parts,Impact,2105,14,High
DEF-00248,2024-03-30,Summit Packaging,Detroit Plant,Corrugate,Impact,3659,378,High
DEF-00249,2024-02-13,Metro Logistics,Mexico City Plant,Packaging,Rework,272,351,Medium
DEF-00250,2024-12-04,Vertex Components,Detroit Plant,Packaging,No Impact,3139,243,Low
DEF-00251,2024-01-27,Metro Logistics,Toronto Plant,Corrugate,Rework,2166,118,Medium
DEF-00252,2024-04-29,BlueLine Services,Toronto Plant,Corrugate,No Impact,3902,545,Low
DEF-00253,2024-01-07,Summit Packaging,Toronto Plant,Corrugate,No Impact,4346,445,High
DEF-00254,2024-09-29,NexGen Maintenance,Toronto Plant,Machine Parts,No Impact,337,99,Medium
DEF-00255,2024-02-20,Summit Packaging,Mexico City Plant,Corrugate,Rework,2215,273,High
DEF-00256,2024-09-23,NexGen Maintenance,Detroit Plant,Hardware,Rejected,1981,199,High
DEF-00257,2024-01-07,BlueLine Services,Troy Plant,Machine Parts,Rejected,70,69,High
DEF-00258,2024-04-22,Summit Packaging,Atlanta Plant,Packaging,Rejected,3654,359,Low
DEF-00259,2024-10-31,Prime Hardware,Mexico City Plant,Raw Materials,Rejected,754,58,Low
DEF-00260,2024-07-11,Omega Office Supplies,Detroit Plant,Raw Materials,Impact,4954,133,Medium
DEF-00261,2024-12-04,Global Parts Co,Toronto Plant,Hardware,Rework,2414,478,High
DEF-00262,2024-03-23,Global Parts Co,Atlanta Plant,Raw Materials,Rework,2650,263,Medium
DEF-00263,2024-05-12,Summit Packaging,Detroit Plant,Corrugate,Rejected,2726,61,Medium
DEF-00264,2024-04-01,Vertex Components,Troy Plant,Packaging,Rework,1644,402,Low
DEF-00265,2024-05-12,Global Parts Co,Troy Plant,Raw Materials,Rejected,871,452,High
DEF-00266,2024-01-10,Vertex Components,Detroit Plant,Raw Materials,Rejected,2053,456,High
DEF-00267,2024-03-18,NexGen Maintenance,Toronto Plant,Machine Parts,Rejected,3199,272,High
DEF-00268,2024-08-11,BlueLine Services,Troy Plant,Machine Parts,Impact,4020,489,Low
DEF-00269,2024-03-03,Omega Office Supplies,Mexico City Plant,Hardware,No Impact,3150,493,High
DEF-00270,2024-01-29,Global Parts Co,Atlanta Plant,Machine Parts,No Impact,2481,410,Low
DEF-00271,2024-11-27,Prime Hardware,Detroit Plant,Machine Parts,Rejected,3766,296,Medium
DEF-00272,2024-12-22,BlueLine Services,Troy Plant,Hardware,Rework,1565,306,Low
DEF-00273,2024-03-12,Alpha Industrial Supplies,Detroit Plant,Raw Materials,Impact,3588,194,Medium
DEF-00274,2024-10-03,Summit Packaging,Toronto Plant,Machine Parts,Rework,3185,64,Low
DEF-00275,2024-01-29,NexGen Maintenance,Troy Plant,Corrugate,Rejected,304,347,Low
DEF-00276,2024-12-13,Rapid Freight,Detroit Plant,Machine Parts,Impact,4286,469,Low
DEF-00277,2024-09-07,Alpha Industrial Supplies,Toronto Plant,Machine Parts,Rejected,303,144,Low
DEF-00278,2024-03-29,Alpha Industrial Supplies,Atlanta Plant,Raw Materials,Rework,1070,14,High
DEF-00279,2024-02-24,Global Parts Co,Toronto Plant,Machine Parts,Impact,1399,65,Low
DEF-00280,2024-06-21,BlueLine Services,Atlanta Plant,Raw Materials,Impact,1661,436,Medium
DEF-00281,2024-10-30,Metro Logistics,Atlanta Plant,Raw Materials,Rejected,1747,46,Medium
DEF-00282,2024-03-27,NexGen Maintenance,Mexico City Plant,Packaging,Rework,1158,425,Low
